PPFD,R_PWM,B_PWM,Total_PWM
0,0.0,1.87,1.87
10,0.0,2.33,2.33
20,1.03,2.8,3.83
30,2.54,3.26,5.81
40,4.06,3.73,7.79
50,5.57,4.2,9.77
60,7.09,4.66,11.75
70,8.6,5.13,13.73
80,10.11,5.59,15.71
90,11.63,6.06,17.69
100,13.14,6.52,19.67
110,14.66,6.99,21.65
120,16.17,7.46,23.63
130,17.69,7.92,25.61
140,19.2,8.39,27.59
150,20.71,8.85,29.57
160,22.23,9.32,31.55
170,23.74,9.78,33.53
180,25.26,10.25,35.51
190,26.77,10.72,37.49
200,28.29,11.18,39.47
210,29.8,11.65,41.45
220,31.31,12.11,43.43
230,32.83,12.58,45.41
240,34.34,13.04,47.39
250,35.86,13.51,49.37
260,37.37,13.98,51.35
270,38.89,14.44,53.33
280,40.4,14.91,55.31
290,41.91,15.37,57.29
300,43.43,15.84,59.27
310,44.94,16.3,61.25
320,46.46,16.77,63.23
330,47.97,17.24,65.21
340,49.49,17.7,67.19
350,51.0,18.17,69.17
360,52.51,18.63,71.15
370,54.03,19.1,73.13
380,55.54,19.56,75.11
390,57.06,20.03,77.09
400,58.57,20.5,79.07
410,60.09,20.96,81.05
420,61.6,21.43,83.03
430,63.11,21.89,85.01
440,64.63,22.36,86.99
450,66.14,22.82,88.97
460,67.66,23.29,90.95
470,69.17,23.76,92.93
480,70.69,24.22,94.91
490,72.2,24.69,96.89
500,73.71,25.15,98.87
510,75.23,25.62,100.85
520,76.74,26.08,102.83
530,78.26,26.55,104.81
540,79.77,27.02,106.79
550,81.29,27.48,108.77
560,82.8,27.95,110.75
570,84.31,28.41,112.73
580,85.83,28.88,114.71
590,87.34,29.34,116.69
600,88.86,29.81,118.67
